date,rainfall,site,year,month,tasmax,tasmin
2017-09-16,151.175576000699,Hazelrigg,2017,9,16.09431542635558,10.313947642910673
2017-09-16,125.64204680087441,Ainsdale,2017,9,16.7840381486471,11.070453366255455
2017-10-16,17.77375378042813,Wytham,2017,10,15.660849441588015,9.350197646092784
2017-10-16,175.85960586352354,Hazelrigg,2017,10,14.34933360554876,9.706217542444627
2017-10-16,85.34485798889261,Ainsdale,2017,10,15.046614427156939,10.416518632947177
2017-11-16,58.67260141570308,Wytham,2017,11,10.123045215204579,3.418089770917438
2017-11-16,182.9503058595928,Hazelrigg,2017,11,9.742993938415882,4.116015993043948
2017-11-16,102.84360703792656,Ainsdale,2017,11,10.456793784607877,5.671967947481725
2017-12-16,97.01444351297485,Wytham,2017,12,7.7094155558596045,2.1770396467967075
2017-12-16,120.72010226656734,Hazelrigg,2017,12,7.101636406415077,2.225766832272031
2017-12-16,99.37615583210679,Ainsdale,2017,12,8.082423784963275,3.3695189417146763
2018-01-16,68.58098820051698,Wytham,2018,1,8.45040500736613,2.715491293067476
2018-01-16,110.96556192418569,Hazelrigg,2018,1,6.952710303649126,2.544481694319551
2018-01-16,96.28058451716355,Ainsdale,2018,1,7.717713594074432,3.047889088537488
2018-02-16,25.27719598313652,Wytham,2018,2,5.808744504869772,-0.2522356264296608
2018-02-16,76.23668498537995,Hazelrigg,2018,2,5.611058924053884,0.430094693247701
2018-02-16,38.522479310126165,Ainsdale,2018,2,6.314513809382912,1.0539241389145153
2018-03-16,104.82644801568301,Wytham,2018,3,8.400443252583123,2.0136147820870853
2018-03-16,55.1368438603147,Hazelrigg,2018,3,7.305213558630999,1.6509171608298772
2018-03-16,65.98650384444467,Ainsdale,2018,3,7.849584849573961,2.2794713802495195
2018-04-16,58.74060293274886,Wytham,2018,4,13.582241311338809,7.057531602504841
2018-04-16,87.06469330845704,Hazelrigg,2018,4,12.085509769992013,5.622741628619707
2018-04-16,82.46628469122423,Ainsdale,2018,4,12.575539406187987,6.466093677704947
2018-05-16,105.71126847787802,Wytham,2018,5,19.156114491866486,8.212398709512728
2018-05-16,30.473459332590235,Hazelrigg,2018,5,17.36371974178843,8.232891821038487
2018-05-16,39.923086609380995,Ainsdale,2018,5,17.9237392685117,8.527079003744454
2018-06-16,2.0926122075368134,Wytham,2018,6,22.045687429526247,11.260597564728092
