Site,Treatment,Date,Time_point,Species,Individual_nos,Leaf_weight_wet_g,Leaf_area_cm_2,Leaf_weight_dry_g,Leaf_area_mm_2,Leaf_area_m_2,Leaf_weight_dry_mg,Leaf_weight_wet_mg,Trait_name,Trait_value,data_set,is_outlier
Ainsdale,CONT,20/06/2025,T2,MA,1,0.047,2.673,0.013300000000000001,26.73,2.673e-4,13.3,47,LDMC,0.28297872340425534,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,0.047,2.673,0.013300000000000001,26.73,2.673e-4,13.3,47,LWC,0.7170212765957448,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,0.047,2.673,0.013300000000000001,26.73,2.673e-4,13.3,47,EWT,0.012607557052001499,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,0.066,2.907,0.013500000000000002,29.07,2.907e-4,13.500000000000002,66,LMA,4.643962848297214,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,0.066,2.907,0.013500000000000002,29.07,2.907e-4,13.500000000000002,66,LDMC,0.20454545454545459,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,0.066,2.907,0.013500000000000002,29.07,2.907e-4,13.500000000000002,66,LWC,0.7954545454545454,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,0.066,2.907,0.013500000000000002,29.07,2.907e-4,13.500000000000002,66,EWT,0.01805985552115583,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,0.048,2.7119999999999997,0.013600000000000001,27.119999999999997,2.712e-4,13.600000000000001,48,LMA,5.014749262536874,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,0.048,2.7119999999999997,0.013600000000000001,27.119999999999997,2.712e-4,13.600000000000001,48,LDMC,0.2833333333333334,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,0.048,2.7119999999999997,0.013600000000000001,27.119999999999997,2.712e-4,13.600000000000001,48,LWC,0.7166666666666667,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,1,0.048,2.7119999999999997,0.013600000000000001,27.119999999999997,2.712e-4,13.600000000000001,48,EWT,0.012684365781710916,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.042,1.59,0.0108,15.9,1.5900000000000002e-4,10.8,42,LMA,6.7924528301886795,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.042,1.59,0.0108,15.9,1.5900000000000002e-4,10.8,42,LDMC,0.2571428571428572,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.042,1.59,0.0108,15.9,1.5900000000000002e-4,10.8,42,LWC,0.7428571428571429,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.042,1.59,0.0108,15.9,1.5900000000000002e-4,10.8,42,EWT,0.019622641509433963,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.047,1.62,0.0109,16.200000000000003,1.62e-4,10.9,47,LMA,6.728395061728395,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.047,1.62,0.0109,16.200000000000003,1.62e-4,10.9,47,LDMC,0.23191489361702128,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.047,1.62,0.0109,16.200000000000003,1.62e-4,10.9,47,LWC,0.7680851063829788,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.047,1.62,0.0109,16.200000000000003,1.62e-4,10.9,47,EWT,0.02228395061728395,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.043000000000000003,1.1600000000000001,0.0102,11.600000000000001,1.1600000000000001e-4,10.200000000000001,43,LMA,8.793103448275861,field,TRUE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.043000000000000003,1.1600000000000001,0.0102,11.600000000000001,1.1600000000000001e-4,10.200000000000001,43,LDMC,0.23720930232558143,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.043000000000000003,1.1600000000000001,0.0102,11.600000000000001,1.1600000000000001e-4,10.200000000000001,43,LWC,0.7627906976744185,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,2,0.043000000000000003,1.1600000000000001,0.0102,11.600000000000001,1.1600000000000001e-4,10.200000000000001,43,EWT,0.02827586206896552,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,0.058,2.4499999999999997,0.0125,24.499999999999996,2.45e-4,12.5,58,LMA,5.102040816326531,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,0.058,2.4499999999999997,0.0125,24.499999999999996,2.45e-4,12.5,58,LDMC,0.21551724137931033,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,0.058,2.4499999999999997,0.0125,24.499999999999996,2.45e-4,12.5,58,LWC,0.7844827586206896,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,0.058,2.4499999999999997,0.0125,24.499999999999996,2.45e-4,12.5,58,EWT,0.018571428571428572,field,FALSE
