date,site,tasmax
2025-04-26,Ainsdale,15.395591517857143
2025-04-26,Hazelrigg,15.138916015625
2025-04-26,Wytham,15.9365234375
2025-04-27,Ainsdale,16.739146205357144
2025-04-27,Hazelrigg,16.006103515625
2025-04-27,Wytham,19.94921875
2025-04-28,Ainsdale,18.229966517857143
2025-04-28,Hazelrigg,18.186279296875
2025-04-28,Wytham,21.8466796875
2025-04-29,Ainsdale,22.750613839285716
2025-04-29,Hazelrigg,22.3291015625
2025-04-29,Wytham,22.58203125
2025-04-30,Ainsdale,23.500697544642858
2025-04-30,Hazelrigg,22.94140625
2025-04-30,Wytham,24.5068359375
2025-05-01,Ainsdale,20.487081473214285
2025-05-01,Hazelrigg,20.29638671875
2025-05-01,Wytham,26.88671875
2025-05-02,Ainsdale,14.536941964285715
2025-05-02,Hazelrigg,15.915771484375
2025-05-02,Wytham,21.5029296875
2025-05-03,Ainsdale,15.119447544642858
2025-05-03,Hazelrigg,16.246337890625
2025-05-03,Wytham,17.2705078125
2025-05-04,Ainsdale,14.123074776785714
2025-05-04,Hazelrigg,12.4404296875
2025-05-04,Wytham,12.779296875
2025-05-05,Ainsdale,13.916657366071428
2025-05-05,Hazelrigg,13.61572265625
2025-05-05,Wytham,13.2080078125
2025-05-06,Ainsdale,14.573744419642857
2025-05-06,Hazelrigg,14.03857421875
2025-05-06,Wytham,14.7236328125
2025-05-07,Ainsdale,15.086244419642858
2025-05-07,Hazelrigg,14.941162109375
2025-05-07,Wytham,17.373046875
2025-05-08,Ainsdale,15.558286830357142
2025-05-08,Hazelrigg,15.1796875
2025-05-08,Wytham,14.033203125
2025-05-09,Ainsdale,18.34907924107143
2025-05-09,Hazelrigg,17.161865234375
2025-05-09,Wytham,18.595703125
2025-05-10,Ainsdale,21.4095703125
2025-05-10,Hazelrigg,21.621826171875
2025-05-10,Wytham,21.0712890625
2025-05-11,Ainsdale,22.9921875
2025-05-11,Hazelrigg,23.050537109375
2025-05-11,Wytham,23.6640625
2025-05-12,Ainsdale,24.375306919642856
2025-05-12,Hazelrigg,24.824462890625
2025-05-12,Wytham,22.16015625
2025-05-13,Ainsdale,23.240206473214286
2025-05-13,Hazelrigg,22.48193359375
2025-05-13,Wytham,23.4765625
2025-05-14,Ainsdale,19.91609933035714
2025-05-14,Hazelrigg,19.304931640625
2025-05-14,Wytham,21.0751953125
2025-05-15,Ainsdale,18.1712890625
2025-05-15,Hazelrigg,19.06982421875
2025-05-15,Wytham,14.505859375
2025-05-16,Ainsdale,18.81967075892857
2025-05-16,Hazelrigg,21.60791015625
2025-05-16,Wytham,20.455078125
2025-05-17,Ainsdale,18.31283482142857
2025-05-17,Hazelrigg,19.73193359375
2025-05-17,Wytham,16.4677734375
2025-05-18,Ainsdale,19.067940848214285
2025-05-18,Hazelrigg,20.10791015625
2025-05-18,Wytham,16.73828125
2025-05-19,Ainsdale,17.794810267857144
2025-05-19,Hazelrigg,18.28759765625
2025-05-19,Wytham,18.837890625
2025-05-20,Ainsdale,18.770619419642856
2025-05-20,Hazelrigg,18.35986328125
2025-05-20,Wytham,21.0048828125
2025-05-21,Ainsdale,18.317522321428573
2025-05-21,Hazelrigg,20.18115234375
2025-05-21,Wytham,19.9091796875
2025-05-22,Ainsdale,16.708314732142856
2025-05-22,Hazelrigg,15.854248046875
2025-05-22,Wytham,15.6142578125
2025-05-23,Ainsdale,17.839369419642857
2025-05-23,Hazelrigg,17.3359375
2025-05-23,Wytham,20.6416015625
2025-05-24,Ainsdale,19.3517578125
