Site,Treatment,Block,Plot_nos,Individual_nos,Species,Date,Time_point,Survival,Height,Width_1,Width_2,Leaves,Flower,Seed,Notes_1,Notes_2
Hazelrigg,NPK_CESS,1,NA,01,AO,12/07/2025,T3,yes,45,80,NA,NA,None,8,,
Hazelrigg,NPK_CESS,1,NA,02,AO,12/07/2025,T3,yes,38,45,NA,NA,None,8,,
Hazelrigg,NPK_DIST,1,NA,01,AO,12/07/2025,T3,yes,52,50,NA,NA,None,10,,
Hazelrigg,NPK_DIST,1,NA,02,AO,12/07/2025,T3,yes,46,30,NA,NA,None,11,,
Hazelrigg,CONT,2,NA,01,AO,12/07/2025,T3,yes,36,85,NA,NA,None,3,,
Hazelrigg,CONT,2,NA,02,AO,12/07/2025,T3,yes,42,15,NA,NA,None,10,,
Hazelrigg,DIST,2,NA,01,AO,12/07/2025,T3,yes,40,40,NA,NA,None,16,,
Hazelrigg,DIST,2,NA,02,AO,12/07/2025,T3,yes,45,80,NA,NA,None,22,,
Hazelrigg,NPK,2,NA,01,AO,12/07/2025,T3,yes,40,45,NA,NA,None,17,,
Hazelrigg,NPK,2,NA,02,AO,12/07/2025,T3,yes,NA,10,NA,NA,None,None,,
Hazelrigg,NPK_CESS,2,NA,01,AO,12/07/2025,T3,yes,52,90,NA,NA,None,8,,
Hazelrigg,NPK_CESS,2,NA,02,AO,12/07/2025,T3,yes,55,70,NA,NA,None,8,,
Hazelrigg,NPK_DIST,2,NA,01,AO,12/07/2025,T3,yes,42,30,NA,NA,None,16,,
Hazelrigg,NPK_DIST,2,NA,02,AO,12/07/2025,T3,yes,53,40,NA,NA,None,24,,
Hazelrigg,CONT,3,NA,01,AO,12/07/2025,T3,yes,21,20,NA,NA,None,3,,
Hazelrigg,CONT,3,NA,02,AO,12/07/2025,T3,yes,36,15,NA,NA,None,3,,
Hazelrigg,DIST,3,NA,01,AO,12/07/2025,T3,yes,46,50,NA,NA,None,18,,
Hazelrigg,DIST,3,NA,02,AO,12/07/2025,T3,yes,55,60,NA,NA,None,16,,
Hazelrigg,NPK,3,NA,01,AO,12/07/2025,T3,yes,65,90,NA,NA,None,12,,
Hazelrigg,NPK,3,NA,02,AO,12/07/2025,T3,yes,43,60,NA,NA,None,13,,
Hazelrigg,NPK_CESS,3,NA,01,AO,12/07/2025,T3,yes,19,70,NA,NA,None,None,,
Hazelrigg,NPK_CESS,3,NA,02,AO,12/07/2025,T3,yes,42,25,NA,NA,None,4,,
Hazelrigg,NPK_DIST,3,NA,01,AO,12/07/2025,T3,yes,49,20,NA,NA,None,10,,
Hazelrigg,NPK_DIST,3,NA,02,AO,12/07/2025,T3,yes,45,5,NA,NA,None,5,,
Hazelrigg,CONT,1,NA,01,CA,19/05/2025,T1,yes,21,12,8,11,None,None,,
Hazelrigg,CONT,1,NA,02,CA,19/05/2025,T1,yes,17,9,6,8,None,None,,
Hazelrigg,DIST,1,NA,01,CA,19/05/2025,T1,yes,26,12,12,15,None,None,,
Hazelrigg,DIST,1,NA,02,CA,19/05/2025,T1,yes,8,13,10,11,None,None,,
Hazelrigg,NPK,1,NA,01,CA,19/05/2025,T1,yes,27,13,12,16,None,None,,
Hazelrigg,NPK,1,NA,02,CA,19/05/2025,T1,yes,28,18,11,15,None,None,,
Hazelrigg,NPK_CESS,1,NA,01,CA,19/05/2025,T1,yes,25,20,14,14,None,None,,
Hazelrigg,NPK_CESS,1,NA,02,CA,19/05/2025,T1,yes,26,27,15,15,None,None,,
Hazelrigg,CONT,2,NA,01,CA,19/05/2025,T1,yes,18,14,11,13,None,None,,
Hazelrigg,CONT,2,NA,02,CA,19/05/2025,T1,yes,38,21,21,17,None,None,,
Hazelrigg,DIST,2,NA,01,CA,19/05/2025,T1,yes,16,12,9,12,None,None,,
Hazelrigg,DIST,2,NA,02,CA,19/05/2025,T1,yes,21,14,12,13,None,None,,
Hazelrigg,NPK,2,NA,01,CA,19/05/2025,T1,yes,21,14,10,9,None,None,,
Hazelrigg,NPK,2,NA,02,CA,19/05/2025,T1,yes,23,22,18,13,None,None,,
Hazelrigg,NPK_CESS,2,NA,01,CA,19/05/2025,T1,yes,33,21,18,16,None,None,,
Hazelrigg,NPK_CESS,2,NA,02,CA,19/05/2025,T1,yes,29,19,16,13,None,None,,
Hazelrigg,NPK_DIST,2,NA,01,CA,19/05/2025,T1,yes,15,9,8,9,None,None,,
Hazelrigg,NPK_DIST,2,NA,02,CA,19/05/2025,T1,yes,11,5,4,8,None,None,,
Hazelrigg,CONT,3,NA,01,CA,19/05/2025,T1,yes,32,20,16,15,None,None,,
Hazelrigg,CONT,3,NA,02,CA,19/05/2025,T1,yes,28,20,12,21,None,None,,
Hazelrigg,DIST,3,NA,01,CA,19/05/2025,T1,yes,15,16,16,15,None,None,,
Hazelrigg,DIST,3,NA,02,CA,19/05/2025,T1,yes,15,6,3,7,None,None,,
Hazelrigg,NPK,3,NA,01,CA,19/05/2025,T1,yes,23,22,16,10,None,None,,
Hazelrigg,NPK,3,NA,02,CA,19/05/2025,T1,yes,21,11,10,10,None,None,,
Hazelrigg,NPK_CESS,3,NA,01,CA,19/05/2025,T1,yes,39,28,22,16,None,None,,
Hazelrigg,NPK_CESS,3,NA,02,CA,19/05/2025,T1,yes,26,12,12,13,None,None,,
Hazelrigg,NPK_DIST,3,NA,01,CA,19/05/2025,T1,yes,17,6,7,7,None,None,,
Hazelrigg,NPK_DIST,3,NA,02,CA,19/05/2025,T1,yes,41,26,16,16,None,None,,
Hazelrigg,CONT,1,NA,01,CA,12/06/2025,T2,yes,30,20,14,12,None,None,,
Hazelrigg,CONT,1,NA,02,CA,12/06/2025,T2,yes,23,17,12,15,None,None,,
Hazelrigg,DIST,1,NA,01,CA,12/06/2025,T2,yes,34,13,13,21,None,None,,
Hazelrigg,DIST,1,NA,02,CA,12/06/2025,T2,yes,10,13,10,10,None,None,,
Hazelrigg,NPK,1,NA,01,CA,12/06/2025,T2,yes,32,18,15,13,1 x Bud,None,,
Hazelrigg,NPK,1,NA,02,CA,12/06/2025,T2,yes,45,22,20,23,None,None,,
Hazelrigg,NPK_CESS,1,NA,01,CA,12/06/2025,T2,yes,41,25,20,21,4 x Bud,None,,
Hazelrigg,NPK_CESS,1,NA,02,CA,12/06/2025,T2,yes,43,23,19,20,3 x Bud,None,,
Hazelrigg,CONT,2,NA,01,CA,12/06/2025,T2,yes,29,14,13,18,7 x Bud,None,,
Hazelrigg,CONT,2,NA,02,CA,12/06/2025,T2,yes,49,23,22,17,None,None,,
Hazelrigg,DIST,2,NA,01,CA,12/06/2025,T2,yes,21,13,12,15,None (eaten),None,,
Hazelrigg,DIST,2,NA,02,CA,12/06/2025,T2,yes,29,17,14,17,2 x Bud,None,,
Hazelrigg,NPK,2,NA,01,CA,12/06/2025,T2,yes,31,20,14,15,None (eaten),None,,
Hazelrigg,NPK,2,NA,02,CA,12/06/2025,T2,yes,45,22,20,21,None,None,,
Hazelrigg,NPK_CESS,2,NA,01,CA,12/06/2025,T2,yes,71,19,15,30,None (eaten),None,,
